,target_text_pt
463,"É nossa responsabilidade moldar [PRIMEIRONOME] em um indivíduo responsável com compreensão de emoções e relacionamentos. Para a verificação, por favor providencie seu [NUMEROCARTAOCREDITO] e [VINVEICULO] durante o próximo encontro de pais."
2711,"Alerta de Webinar: Aprenda habilidades de gerenciamento de tempo! Aberto para estudantes do [ESTADO]. Informações de login serão enviadas para seu [USERAGENT]."
8179,"Questões de direito empresarial de longa data envolvendo a conta [NUMEROCONTA] sob [PRIMEIRONOME] [NOMEMEIO] merecem nossa atenção. Documentos relacionados ao endereço Bitcoin [ENDERECOBITCOIN] e IPV4 [IPV4] serão chave."
6027,"Navio de transporte de contrabando [VRMVEICULO] foi apreendido em [ENDERECOGPSPROXIMO] seguindo leis marítimas. Detalhes do caso estão guardados no endereço IP [IPV6]."
12994,"Para agilizar o processamento dos pacotes de competições acadêmicas, a [CEP] recebeu uma frota de entrega adicional [VRMVEICULO]. O VIN para fins de rastreamento é [VINVEICULO]."
10957,"Olá [PRIMEIRONOME], você poderia pesquisar artigos científicos recentes ou artigos que discutam terapia assistida por animais? Gostaríamos de um breve resumo de cada artigo, destacando suas principais descobertas, bem como suas vantagens e desvantagens. Por favor, envie o relatório finalizado para o meu e-mail [EMAIL]."
12930,"Para enviar novos livros didáticos de psicofarmacologia para nossos laboratórios, utilize nosso endereço secundário [ENDERECOSECUNDARIO]. O CEP do mesmo é [CEP]."
4191,"Hi [PRIMEIRONOME], I'm preparing for a Science Olympiad and could use some tutoring. Can we meet in [CIDADE] this weekend?"
11543,"Já se perguntou onde você está legalmente? De acordo com a nova legislação, armazenar ou compartilhar seu [IP], [IPV4] ou [IPV6] é proibido sem consentimento expresso."
14632,"O software automático relata atividade suspeita na conta [NUMEROCONTA] de [PREFIXO] [ULTIMONOME] [NOMEMEIO]. Por favor, investigue."
6729,"Precisamos do apoio do [PRIMEIRONOME], líder em desenvolvimento de saúde infantil. O aumento de casos de desnutrição no distrito [CEP] é uma questão urgente."
1706,"Precisamos garantir que nossa solução EdTech seja adaptável tanto a regiões em desenvolvimento quanto desenvolvidas. Os usuários podem se conectar com diferentes tipos de endereços IP — sejam eles IPV4, como [IPV4], ou IPV6, como [IPV6]."
7700,"Prezado [USUARIO], anote seu PIN exclusivo [PIN] para acessar nossos recursos de autoajuda online."
2453,"Por favor, analise os dados de vendas em [IPV4] e envie suas projeções para mim o mais rápido possível. Precisamos discutir estratégias para o segundo trimestre para nossa unidade em [ESTADO]."
5124,"Advogado responsável por tropeço e queda no escritório [CEP]. Sofreu fraturas. Entre em contato comigo pelo [NÚMERO TELEFONE]."
254,"Detectamos atividades fraudulentas de [IPV4] e [IPV6]. Novos endereços IP clicando em nossos anúncios diversas vezes."
9023,"Para o próximo trimestre fiscal, utilize [NOMECONTA] para a compra de equipamentos médicos. Para transações, utilize IBAN: [IBAN] e BIC: [BIC]."
3984,"Estou trabalhando em [ENDERECOSECUNDARIO] hoje e preciso acessar o banco de dados pediátrico. Meu endereço IP é [IPV4]."
1545,"Por favor, peça para [USUARIO] completar o teste psicométrico e enviar os resultados para meu endereço [IP]."
14539,"O dispositivo [IMEI] foi registrado para as sessões ao vivo. Use a versão personalizada [USERAGENT] para melhor compatibilidade."
7319,"É um prazer tê-lo conosco [PREFIXO] [NOMEMEIO]. Crie uma conta de escritório. Você pode usar seu laptop, mas certifique-se de que o endereço MAC dele ([MAC]) esteja registrado no sistema."
12502,"Olá, sou [PRIMEIRONOME] [ULTIMONOME], seu orientador escolar. Estamos atualizando os perfis dos alunos. Você poderia nos enviar seu endereço secundário ([ENDERECOSECUNDARIO]), se aplicável? Obrigado."
12024,"Garanta a segurança online enquanto estuda Gestão de Tempo. Use meu endereço secundário criptografado [ENDERECOSECUNDARIO] para correspondência. Novamente, reporte qualquer problema em [ENDERECOLITECOIN]. Mantenha a segurança online!"
2484,"Olá equipe, saibam que o IP [IP] foi detectado como nocivo, afetando nosso endereço da blockchain Ethereum [ENDERECOETHER], que foi suspenso temporariamente. Nosso líder técnico [NOMEMEIO] está investigando o problema. Por favor, abstenha-se de realizar qualquer transação até novo aviso."
5207,"[NOMEMEIO], conforme nossa discussão, por favor, compartilhe seu plano detalhado de gerenciamento de tempo com o corpo estudantil na próxima reunião no Edifício [NUMEROPREDIO]."
14596,"[PRIMEIRONOME] [NOMEMEIO], a atividade recente no seu endereço de Ethereum [ENDERECOETHER] parece suspeita. Por favor, reconfirme seu [NUMEROCONTA]."
8238,"Prezado [PRIMEIRONOME], para fins de verificação, seu [CVVCARTAOCREDITO] será necessário. Agradecemos sua colaboração."
2789,"O tíquete do seminário de gerenciamento de tempo foi enviado para o endereço [ENDERECOSECUNDARIO], [CEP]."
11206,"Olá [PRIMEIRONOME], detectamos tentativas de login na sua conta de aprendizagem online a partir deste dispositivo incomum [MAC]. Se este não for o seu dispositivo, entre em contato conosco e revise sua senha. Senha atual: [SENHA]"
